payment_id,order_id,payment_method,amount,payment_status,payment_timestamp
1,1,bank_transfer,1701.84,failed,2026-04-06
2,2,paypal,246.76,refunded,2026-04-06
3,3,apple_pay,316.79999999999995,success,2026-04-06
4,4,bank_transfer,929.51,success,2026-04-06
5,5,apple_pay,2232.75,failed,2026-04-06
6,6,paypal,103.85,refunded,2026-04-06
7,7,paypal,91.17,refunded,2026-04-06
8,8,credit_card,1643.1599999999999,success,2026-04-06
9,9,paypal,585.4200000000001,success,2026-04-06
10,10,google_pay,228.81,success,2026-04-06
11,11,apple_pay,752.4100000000001,refunded,2026-04-06
12,12,google_pay,2144.25,failed,2026-04-06
13,13,paypal,1815.9999999999998,refunded,2026-04-06
14,14,bank_transfer,235.99,failed,2026-04-06
15,15,apple_pay,1068.81,success,2026-04-06
16,16,bank_transfer,225.48000000000002,success,2026-04-06
17,17,paypal,172.24,failed,2026-04-06
18,18,credit_card,2961.27,failed,2026-04-06
19,19,paypal,2034.2299999999998,refunded,2026-04-06
20,20,paypal,567.31,refunded,2026-04-06
21,21,apple_pay,5.76,success,2026-04-06
22,22,paypal,1263.46,refunded,2026-04-06
23,23,paypal,955.6,success,2026-04-06
24,24,paypal,1297.52,refunded,2026-04-06
25,25,credit_card,252.32999999999998,success,2026-04-06
26,26,paypal,1716.21,refunded,2026-04-06
27,27,apple_pay,406.74,refunded,2026-04-06
28,28,google_pay,778.84,success,2026-04-06
29,29,apple_pay,758.5899999999999,refunded,2026-04-06
30,30,google_pay,1079.62,failed,2026-04-06
31,31,bank_transfer,2285.45,refunded,2026-04-06
32,32,bank_transfer,48.54,refunded,2026-04-06
33,33,bank_transfer,585.36,success,2026-04-06
34,34,apple_pay,327.19,success,2026-04-06
35,35,credit_card,37.68,refunded,2026-04-06
36,36,paypal,285.72,refunded,2026-04-06
37,37,paypal,1269.43,refunded,2026-04-06
38,38,paypal,394.26,refunded,2026-04-06
39,39,apple_pay,1855.18,failed,2026-04-06
40,40,bank_transfer,170.02,success,2026-04-06
41,41,paypal,1695.17,failed,2026-04-06
42,42,credit_card,1606.89,refunded,2026-04-06
43,43,paypal,572.07,success,2026-04-06
44,44,apple_pay,1504.62,refunded,2026-04-06
45,45,credit_card,34.07,refunded,2026-04-06
46,46,apple_pay,1438.42,success,2026-04-06
47,47,google_pay,3849.25,failed,2026-04-06
48,48,bank_transfer,392.41,success,2026-04-06
49,49,paypal,7032.5,success,2026-04-06
50,50,paypal,226.07999999999998,failed,2026-04-06
51,51,apple_pay,298.09,success,2026-04-06
52,52,credit_card,3825.5699999999997,refunded,2026-04-06
53,53,google_pay,537.1899999999999,refunded,2026-04-06
54,54,paypal,322.58,failed,2026-04-06
55,55,bank_transfer,412.08000000000004,refunded,2026-04-06
56,56,credit_card,237.35999999999999,failed,2026-04-06
57,57,bank_transfer,692.52,success,2026-04-06
58,58,credit_card,489.45000000000005,success,2026-04-06
59,59,credit_card,257.22,failed,2026-04-06
60,60,apple_pay,1740.33,refunded,2026-04-06
61,61,google_pay,547.2,failed,2026-04-06
62,62,google_pay,959.48,failed,2026-04-06
63,63,paypal,189.34,refunded,2026-04-06
64,64,google_pay,82.68,success,2026-04-06
65,65,google_pay,27.16,failed,2026-04-06
66,66,paypal,4340.01,refunded,2026-04-06
67,67,google_pay,709.5,success,2026-04-06
68,68,google_pay,227.7,success,2026-04-06
69,69,credit_card,691.0999999999999,refunded,2026-04-06
70,70,paypal,3765.43,success,2026-04-06
71,71,credit_card,414.51,success,2026-04-06
72,72,apple_pay,1040.37,success,2026-04-06
73,73,apple_pay,1793.33,refunded,2026-04-06
74,74,google_pay,824.4599999999999,success,2026-04-06
75,75,google_pay,1131.09,success,2026-04-06
76,76,bank_transfer,116.7,failed,2026-04-06
77,77,bank_transfer,692.52,refunded,2026-04-06
78,78,credit_card,193.95,refunded,2026-04-06
79,79,paypal,1960.73,success,2026-04-06
80,80,paypal,2798.93,success,2026-04-06
81,81,credit_card,1342.15,refunded,2026-04-06
82,82,paypal,1072.4099999999999,success,2026-04-06
83,83,credit_card,56.52,failed,2026-04-06
84,84,google_pay,608.0,failed,2026-04-06
85,85,apple_pay,3090.0,failed,2026-04-06
86,86,apple_pay,1025.59,failed,2026-04-06
87,87,paypal,100.44,failed,2026-04-06
88,88,google_pay,5438.85,failed,2026-04-06
89,89,google_pay,75.67,success,2026-04-06
90,90,bank_transfer,73.36,success,2026-04-06
91,91,paypal,449.03,success,2026-04-06
92,92,paypal,1168.1,success,2026-04-06
93,93,google_pay,212.6,refunded,2026-04-06
94,94,apple_pay,305.19,success,2026-04-06
95,95,credit_card,702.39,refunded,2026-04-06
96,96,apple_pay,3656.1,failed,2026-04-06
97,97,google_pay,156.38,success,2026-04-06
98,98,credit_card,353.27,refunded,2026-04-06
99,99,apple_pay,172.87,success,2026-04-06
100,100,credit_card,206.45999999999998,success,2026-04-06
101,101,apple_pay,225.14000000000001,success,2026-04-05
102,102,google_pay,2079.1600000000003,success,2026-04-05
103,103,bank_transfer,217.82,refunded,2026-04-05
104,104,apple_pay,197.66,failed,2026-04-05
105,105,bank_transfer,1519.1599999999999,refunded,2026-04-05
106,106,credit_card,2421.76,failed,2026-04-05
107,107,google_pay,539.98,refunded,2026-04-05
108,108,bank_transfer,1720.91,failed,2026-04-05
109,109,apple_pay,4875.04,failed,2026-04-05
