==================== 2026-04-05T07:06:04.803662Z | 3e8809cf-5d80-44f8-9ad7-3e9ea66c1c1e ====================
07:06:04.803947 [info ]: Starting dbt LSP server
07:06:04.804092 [info ]: Connecting to LSP client on port 8000
07:06:04.825917 [info ]: Successfully connected to LSP client
07:06:04.825944 [info ]: Creating LSP service...
07:06:05.382616 [info ]: Creating LSP server...
07:06:05.382769 [info ]: Starting LSP server...
07:06:05.474464 [info ]: Loading ..\..\..\..\Users\mayur\AppData\Roaming\dbt\profiles.yml
07:06:05.754618 [info ]: Started loading project
07:06:05.756266 [info ]: Loading ..\..\..\..\Users\mayur\AppData\Roaming\dbt\profiles.yml
07:06:05.777774 [info ]:    Started resolving packages from packages.yml
07:06:06.363072 [info ]:   Finished [  0.59s] resolving packages from packages.yml (1 items)
07:06:06.364469 [debug]:    Started loading packages
07:06:06.410702 [debug]:     Loaded [  0.05s] packages
07:06:06.413976 [info ]: Finished loading project [  0.66s]
07:06:06.415680 [info ]: Started parsing
07:06:06.656356 [debug]: Finished parsing models\core\dimensions\dim_customers.yml [  0.00s]
07:06:06.657175 [debug]: Finished parsing models\core\dimensions\dim_date.yml [  0.00s]
07:06:06.658105 [debug]: Finished parsing models\core\dimensions\dim_products.yml [  0.00s]
07:06:06.659594 [debug]: Finished parsing models\core\facts\fct_order_items.yml [  0.00s]
07:06:06.661053 [debug]: Finished parsing models\core\facts\fct_orders.yml [  0.00s]
07:06:06.662445 [debug]: Finished parsing models\core\facts\fct_payments.yml [  0.00s]
07:06:06.668288 [debug]: Finished parsing models\core\facts\fct_shipments.yml [  0.01s]
07:06:06.670764 [debug]: Finished parsing models\core\intermediates\int_sales_base.yml [  0.00s]
07:06:06.671690 [debug]: Finished parsing models\marts\exposures.yml [  0.00s]
07:06:06.672862 [debug]: Finished parsing models\marts\mrt_order_status_bucket.yml [  0.00s]
07:06:06.674985 [debug]: Finished parsing models\marts\mrt_product_sales.yml [  0.00s]
07:06:06.677324 [debug]: Finished parsing models\marts\mrt_sales_trends.yml [  0.00s]
07:06:06.679715 [debug]: Finished parsing models\sources\sources.yml [  0.00s]
07:06:06.685471 [debug]: Finished parsing models\staging\stg_customers.yml [  0.01s]
07:06:06.686637 [debug]: Finished parsing models\staging\stg_order_items.yml [  0.00s]
07:06:06.687932 [debug]: Finished parsing models\staging\stg_orders.yml [  0.00s]
07:06:06.689287 [debug]: Finished parsing models\staging\stg_payments.yml [  0.00s]
07:06:06.690542 [debug]: Finished parsing models\staging\stg_products.yml [  0.00s]
07:06:06.691919 [debug]: Finished parsing models\staging\stg_shipments.yml [  0.00s]
07:06:06.722210 [debug]: Finished parsing models\core\dimensions\dim_customers.sql [  0.01s]
07:06:06.724438 [debug]: Finished parsing models\core\dimensions\dim_date.sql [  0.00s]
07:06:06.729136 [debug]: Finished parsing models\core\dimensions\dim_products.sql [  0.01s]
07:06:06.738695 [debug]: Finished parsing models\core\facts\fct_order_items.sql [  0.01s]
07:06:06.744749 [debug]: Finished parsing models\core\facts\fct_orders.sql [  0.01s]
07:06:06.752629 [debug]: Finished parsing models\core\facts\fct_payments.sql [  0.01s]
07:06:06.758695 [debug]: Finished parsing models\core\facts\fct_shipments.sql [  0.01s]
07:06:06.760776 [debug]: Finished parsing models\core\intermediates\int_sales_base.sql [  0.00s]
07:06:06.762840 [debug]: Finished parsing models\marts\mrt_order_status_bucket.sql [  0.00s]
07:06:06.766485 [debug]: Finished parsing models\marts\mrt_product_sales.sql [  0.00s]
07:06:06.768907 [debug]: Finished parsing models\marts\mrt_sales_trends.sql [  0.00s]
07:06:06.771585 [debug]: Finished parsing models\staging\stg_customers.sql [  0.00s]
07:06:06.773823 [debug]: Finished parsing models\staging\stg_order_items.sql [  0.00s]
07:06:06.776280 [debug]: Finished parsing models\staging\stg_orders.sql [  0.00s]
07:06:06.778458 [debug]: Finished parsing models\staging\stg_payments.sql [  0.00s]
07:06:06.781018 [debug]: Finished parsing models\staging\stg_products.sql [  0.00s]
07:06:07.154718 [debug]: Finished parsing models\staging\stg_shipments.sql [  0.37s]
07:06:07.179986 [debug]: Finished parsing target\generic_tests\not_null_fct_payments_order_key.sql [  0.00s]
07:06:07.181099 [debug]: Finished parsing target\generic_tests\not_null_dim_customers_customer_id.sql [  0.00s]
07:06:07.183865 [debug]: Finished parsing target\generic_tests\not_null_dim_customers_customer_key.sql [  0.00s]
07:06:07.186229 [debug]: Finished parsing target\generic_tests\unique_dim_customers_customer_key.sql [  0.00s]
07:06:07.192149 [debug]: Finished parsing target\generic_tests\unique_stg_order_items_order_item_id.sql [  0.02s]
07:06:07.200118 [debug]: Finished parsing target\generic_tests\not_null_mrt_product_sales_gross_revenue_by_product.sql [  0.02s]
07:06:07.210612 [debug]: Finished parsing target\generic_tests\not_null_stg_order_items_product_id.sql [  0.02s]
07:06:07.218956 [debug]: Finished parsing target\generic_tests\not_null_mrt_product_sales_net_revenue_by_product.sql [  0.02s]
07:06:07.230798 [debug]: Finished parsing target\generic_tests\relationships_fct_payments_298e547b66e3355e072ed5507eaed34f.sql [  0.05s]
07:06:07.235421 [debug]: Finished parsing target\generic_tests\not_null_fct_payments_payment_date_key.sql [  0.05s]
07:06:07.240206 [debug]: Finished parsing target\generic_tests\not_null_dim_date_date.sql [  0.05s]
07:06:07.245411 [debug]: Finished parsing target\generic_tests\unique_dim_date_date.sql [  0.01s]
07:06:07.245823 [debug]: Finished parsing target\generic_tests\not_null_dim_date_date_key.sql [  0.00s]
07:06:07.248272 [debug]: Finished parsing target\generic_tests\unique_dim_date_date_key.sql [  0.00s]
07:06:07.250906 [debug]: Finished parsing target\generic_tests\not_null_dim_products_product_id.sql [  0.00s]
07:06:07.253767 [debug]: Finished parsing target\generic_tests\not_null_dim_products_product_key.sql [  0.00s]
07:06:07.256221 [debug]: Finished parsing target\generic_tests\unique_dim_products_product_key.sql [  0.00s]
07:06:07.258245 [debug]: Finished parsing target\generic_tests\dbt_utils_expression_is_true_fct_order_items_line_total___0.sql [  0.00s]
07:06:07.260785 [debug]: Finished parsing target\generic_tests\dbt_utils_expression_is_true_f_ba57e35d5cb24ed9ce2394d385f9ab1a.sql [  0.00s]
07:06:07.263022 [debug]: Finished parsing target\generic_tests\not_null_fct_order_items_order_item_created_at_date_key.sql [  0.00s]
07:06:07.266956 [debug]: Finished parsing target\generic_tests\relationships_fct_order_items_b5de419e7836b3f6edcc2ed8738aba5a.sql [  0.00s]
07:06:07.271123 [debug]: Finished parsing target\generic_tests\not_null_fct_order_items_order_item_id.sql [  0.00s]
07:06:07.274041 [debug]: Finished parsing target\generic_tests\not_null_fct_order_items_order_item_key.sql [  0.00s]
07:06:07.277506 [debug]: Finished parsing target\generic_tests\unique_fct_order_items_order_item_key.sql [  0.00s]
07:06:07.281301 [debug]: Finished parsing target\generic_tests\not_null_fct_order_items_order_key.sql [  0.00s]
